model,stem,cls,rel_area,detected
YOLO11n,China_Drone__China_Drone_000738,D00,0.060448,False
YOLO11n,China_Drone__China_Drone_000745,D10,0.036438,True
YOLO11n,China_Drone__China_Drone_000759,D00,0.113434,True
YOLO11n,China_Drone__China_Drone_000763,D00,0.070896,True
YOLO11n,China_Drone__China_Drone_000767,D10,0.104004,True
YOLO11n,China_Drone__China_Drone_000768,D00,0.082123,True
YOLO11n,China_Drone__China_Drone_000802,D10,0.027946,True
YOLO11n,China_Drone__China_Drone_000808,D10,0.089493,True
YOLO11n,China_Drone__China_Drone_000826,D00,0.038086,True
YOLO11n,China_Drone__China_Drone_000831,D10,0.044731,False
YOLO11n,China_Drone__China_Drone_000853,D10,0.016136,True
YOLO11n,China_Drone__China_Drone_000865,D00,0.017223,True
YOLO11n,China_Drone__China_Drone_000865,D00,0.005703,True
YOLO11n,China_Drone__China_Drone_000866,D10,0.004021,True
YOLO11n,China_Drone__China_Drone_000867,D00,0.01936,True
YOLO11n,China_Drone__China_Drone_000867,D10,0.014351,True
YOLO11n,China_Drone__China_Drone_000867,D10,0.005013,False
YOLO11n,China_Drone__China_Drone_000867,D00,0.026436,True
YOLO11n,China_Drone__China_Drone_000871,D20,0.073898,True
YOLO11n,China_Drone__China_Drone_000881,D00,0.030586,True
YOLO11n,China_Drone__China_Drone_000889,D00,0.070175,True
YOLO11n,China_Drone__China_Drone_000906,D10,0.048786,True
YOLO11n,China_Drone__China_Drone_000919,D00,0.007282,False
YOLO11n,China_Drone__China_Drone_000919,D00,0.008972,True
YOLO11n,China_Drone__China_Drone_000932,D20,0.038849,False
YOLO11n,China_Drone__China_Drone_000932,D00,0.026928,True
YOLO11n,China_Drone__China_Drone_000945,D10,0.003319,True
YOLO11n,China_Drone__China_Drone_000945,D10,0.017456,False
YOLO11n,China_Drone__China_Drone_000945,D00,0.020576,False
YOLO11n,China_Drone__China_Drone_000945,D00,0.01474,False
YOLO11n,China_Drone__China_Drone_000947,D20,0.331036,True
YOLO11n,China_Drone__China_Drone_000947,D00,0.019501,False
YOLO11n,China_Drone__China_Drone_000952,D20,0.101814,False
YOLO11n,China_Drone__China_Drone_000980,D00,0.111111,True
YOLO11n,China_Drone__China_Drone_000993,D00,0.077911,True
YOLO11n,China_Drone__China_Drone_000994,D10,0.046257,False
YOLO11n,China_Drone__China_Drone_000995,D00,0.029526,True
YOLO11n,China_Drone__China_Drone_001018,D20,0.148979,True
YOLO11n,China_Drone__China_Drone_001024,D00,0.024567,True
YOLO11n,China_Drone__China_Drone_001024,D00,0.038383,False
YOLO11n,China_Drone__China_Drone_001024,D00,0.350876,True
YOLO11n,China_Drone__China_Drone_001025,D00,0.095516,False
YOLO11n,China_Drone__China_Drone_001030,D10,0.070816,False
YOLO11n,China_Drone__China_Drone_001040,D10,0.013363,True
YOLO11n,China_Drone__China_Drone_001040,D10,0.039734,True
YOLO11n,China_Drone__China_Drone_001040,D10,0.009342,True
YOLO11n,China_Drone__China_Drone_001040,D00,0.011669,True
YOLO11n,China_Drone__China_Drone_001043,D10,0.00663,True
YOLO11n,China_Drone__China_Drone_001048,D00,0.065155,True
YOLO11n,China_Drone__China_Drone_001067,D10,0.038086,True
YOLO11n,China_Drone__China_Drone_001067,D40,0.013275,True
YOLO11n,China_Drone__China_Drone_001069,D10,0.005871,True
YOLO11n,China_Drone__China_Drone_001081,D00,0.08382,True
YOLO11n,China_Drone__China_Drone_001091,D00,0.235336,False
YOLO11n,China_Drone__China_Drone_001104,D00,0.016861,True
YOLO11n,China_Drone__China_Drone_001104,D00,0.012177,False
YOLO11n,China_Drone__China_Drone_001108,D20,0.012043,False
YOLO11n,China_Drone__China_Drone_001108,D00,0.025749,False
YOLO11n,China_Drone__China_Drone_001129,D10,0.005402,True
YOLO11n,China_Drone__China_Drone_001129,D10,0.022644,True
YOLO11n,China_Drone__China_Drone_001129,D00,0.022823,False
YOLO11n,China_Drone__China_Drone_001136,D10,0.105293,True
YOLO11n,China_Drone__China_Drone_001136,D00,0.084934,False
YOLO11n,China_Drone__China_Drone_001141,D20,0.422913,True
YOLO11n,China_Drone__China_Drone_001152,D00,0.043526,True
YOLO11n,China_Drone__China_Drone_001152,D00,0.027088,True
YOLO11n,China_Drone__China_Drone_001157,D10,0.191032,True
YOLO11n,China_Drone__China_Drone_001159,D10,0.011581,True
YOLO11n,China_Drone__China_Drone_001159,D00,0.006256,False
YOLO11n,China_Drone__China_Drone_001166,D10,0.007507,True
YOLO11n,China_Drone__China_Drone_001182,D00,0.006447,False
YOLO11n,China_Drone__China_Drone_001182,D20,0.061684,False
YOLO11n,China_Drone__China_Drone_001190,D00,0.021458,True
YOLO11n,China_Drone__China_Drone_001190,D00,0.011707,False
YOLO11n,China_Drone__China_Drone_001192,D00,0.021648,False
YOLO11n,China_Drone__China_Drone_001200,D10,0.13488,True
YOLO11n,China_Drone__China_Drone_001217,D10,0.041058,True
YOLO11n,China_Drone__China_Drone_001217,D10,0.005508,False
YOLO11n,China_Drone__China_Drone_001222,D10,0.025681,False
YOLO11n,China_Drone__China_Drone_001222,D00,0.069214,False
YOLO11n,China_Drone__China_Drone_001222,D00,0.029907,False
YOLO11n,China_Drone__China_Drone_001229,D00,0.019836,False
YOLO11n,China_Drone__China_Drone_001229,D00,0.106934,True
YOLO11n,China_Drone__China_Drone_001238,D00,0.021523,False
YOLO11n,China_Drone__China_Drone_001238,D00,0.0261,False
YOLO11n,China_Drone__China_Drone_001246,D10,0.003605,True
YOLO11n,China_Drone__China_Drone_001246,D10,0.016937,True
YOLO11n,China_Drone__China_Drone_001247,D10,0.095516,True
YOLO11n,China_Drone__China_Drone_001250,D00,0.005943,False
YOLO11n,China_Drone__China_Drone_001250,D10,0.011902,True
YOLO11n,China_Drone__China_Drone_001263,D00,0.021229,False
YOLO11n,China_Drone__China_Drone_001263,D00,0.162506,False
YOLO11n,China_Drone__China_Drone_001263,D00,0.053291,True
YOLO11n,China_Drone__China_Drone_001263,D00,0.012199,False
YOLO11n,China_Drone__China_Drone_001263,D00,0.013046,True
YOLO11n,China_Drone__China_Drone_001271,D10,0.015106,True
YOLO11n,China_Drone__China_Drone_001271,D00,0.006931,False
YOLO11n,China_Drone__China_Drone_001272,D10,0.230606,True
YOLO11n,China_Drone__China_Drone_001283,D10,0.034607,False
YOLO11n,China_Drone__China_Drone_001305,D00,0.032192,False
YOLO11n,China_Drone__China_Drone_001317,D10,0.118908,True
YOLO11n,China_Drone__China_Drone_001317,D10,0.006676,False
YOLO11n,China_Drone__China_Drone_001356,D10,0.012451,False
YOLO11n,China_Drone__China_Drone_001356,D20,0.011406,False
YOLO11n,China_Drone__China_Drone_001367,D00,0.082989,True
YOLO11n,China_Drone__China_Drone_001368,D20,0.011742,False
YOLO11n,China_Drone__China_Drone_001368,D10,0.02166,False
YOLO11n,China_Drone__China_Drone_001374,D10,0.038429,True
YOLO11n,China_Drone__China_Drone_001380,D00,0.121525,False
YOLO11n,China_Drone__China_Drone_001382,D00,0.016769,True
YOLO11n,China_Drone__China_Drone_001382,D00,0.08139,True
YOLO11n,China_Drone__China_Drone_001382,D10,0.06102,False
YOLO11n,China_Drone__China_Drone_001415,D10,0.249512,False
YOLO11n,China_Drone__China_Drone_001424,D10,0.023037,True
YOLO11n,China_Drone__China_Drone_001429,D00,0.062405,False
YOLO11n,China_Drone__China_Drone_001430,D10,0.204758,False
YOLO11n,China_Drone__China_Drone_001433,D10,0.013138,True
YOLO11n,China_Drone__China_Drone_001433,D00,0.042431,False
YOLO11n,China_Drone__China_Drone_001452,D10,0.041588,True
YOLO11n,China_Drone__China_Drone_001477,D00,0.014687,True
YOLO11n,China_Drone__China_Drone_001478,D00,0.020695,True
YOLO11n,China_Drone__China_Drone_001479,D10,0.025101,True
YOLO11n,China_Drone__China_Drone_001479,D10,0.020222,True
YOLO11n,China_Drone__China_Drone_001479,D00,0.037132,True
YOLO11n,China_Drone__China_Drone_001489,D00,0.011139,False
YOLO11n,China_Drone__China_Drone_001489,D00,0.026184,True
YOLO11n,China_Drone__China_Drone_001493,D10,0.035503,True
YOLO11n,China_Drone__China_Drone_001502,D00,0.010094,False
YOLO11n,China_Drone__China_Drone_001502,D00,0.018585,True
YOLO11n,China_Drone__China_Drone_001503,D00,0.065163,False
YOLO11n,China_Drone__China_Drone_001511,D40,0.016449,False
YOLO11n,China_Drone__China_Drone_001521,D00,0.237816,True
YOLO11n,China_Drone__China_Drone_001526,D20,0.025463,True
YOLO11n,China_Drone__China_Drone_001530,D20,0.00972,False
YOLO11n,China_Drone__China_Drone_001540,D00,0.088367,False
YOLO11n,China_Drone__China_Drone_001546,D00,0.024242,True
YOLO11n,China_Drone__China_Drone_001566,D00,0.045288,True
YOLO11n,China_Drone__China_Drone_001590,D20,0.007721,False
YOLO11n,China_Drone__China_Drone_001591,D10,0.025589,True
YOLO11n,China_Drone__China_Drone_001591,D10,0.010864,True
YOLO11n,China_Drone__China_Drone_001592,D00,0.026455,False
YOLO11n,China_Drone__China_Drone_001608,D00,0.047066,True
YOLO11n,China_Drone__China_Drone_001608,D10,0.014099,True
YOLO11n,China_Drone__China_Drone_001608,D00,0.010727,True
YOLO11n,China_Drone__China_Drone_001623,D10,0.075699,False
YOLO11n,China_Drone__China_Drone_001632,D10,0.030468,False
YOLO11n,China_Drone__China_Drone_001632,D10,0.050537,False
YOLO11n,China_Drone__China_Drone_001632,D00,0.021515,True
YOLO11n,China_Drone__China_Drone_001637,D00,0.013824,False
YOLO11n,China_Drone__China_Drone_001637,D00,0.020485,False
YOLO11n,China_Drone__China_Drone_001638,D10,0.08493,False
YOLO11n,China_Drone__China_Drone_001653,D00,0.053375,True
YOLO11n,China_Drone__China_Drone_001653,D00,0.046421,True
YOLO11n,China_Drone__China_Drone_001672,D00,0.033051,True
YOLO11n,China_Drone__China_Drone_001686,D10,0.011505,True
YOLO11n,China_Drone__China_Drone_001686,D10,0.005119,False
YOLO11n,China_Drone__China_Drone_001686,D00,0.023952,False
YOLO11n,China_Drone__China_Drone_001692,D00,0.08065,True
YOLO11n,China_Drone__China_Drone_001693,D10,0.010731,True
YOLO11n,China_Drone__China_Drone_001713,D10,0.005005,True
YOLO11n,China_Drone__China_Drone_001713,D10,0.001991,False
YOLO11n,China_Drone__China_Drone_001721,D00,0.012634,False
YOLO11n,China_Drone__China_Drone_001721,D00,0.017502,False
YOLO11n,China_Drone__China_Drone_001722,D20,0.344849,False
YOLO11n,China_Drone__China_Drone_001727,D10,0.004395,True
YOLO11n,China_Drone__China_Drone_001727,D10,0.019878,True
YOLO11n,China_Drone__China_Drone_001727,D00,0.01976,False
YOLO11n,China_Drone__China_Drone_001731,D00,0.081055,True
YOLO11n,China_Drone__China_Drone_001757,D00,0.075668,False
YOLO11n,China_Drone__China_Drone_001757,D00,0.006943,False
YOLO11n,China_Drone__China_Drone_001757,D00,0.015076,False
YOLO11n,China_Drone__China_Drone_001760,D10,0.089233,True
YOLO11n,China_Drone__China_Drone_001765,D00,0.004887,True
YOLO11n,China_Drone__China_Drone_001765,D10,0.019897,True
YOLO11n,China_Drone__China_Drone_001777,D10,0.054359,True
YOLO11n,China_Drone__China_Drone_001782,D00,0.110409,False
YOLO11n,China_Drone__China_Drone_001795,D10,0.033989,True
YOLO11n,China_Drone__China_Drone_001809,D10,0.015106,True
YOLO11n,China_Drone__China_Drone_001822,D10,0.012703,False
YOLO11n,China_Drone__China_Drone_001827,D10,0.027832,True
YOLO11n,China_Drone__China_Drone_001827,D00,0.059814,True
YOLO11n,China_Drone__China_Drone_001827,D20,0.015442,False
YOLO11n,China_Drone__China_Drone_001827,D00,0.011108,False
YOLO11n,China_Drone__China_Drone_001831,D20,0.049667,True
YOLO11n,China_Drone__China_Drone_001831,D20,0.093006,False
YOLO11n,China_Drone__China_Drone_001832,D10,0.004494,True
YOLO11n,China_Drone__China_Drone_001832,D10,0.011845,False
YOLO11n,China_Drone__China_Drone_001836,D10,0.048637,True
YOLO11n,China_Drone__China_Drone_001837,D00,0.017731,True
YOLO11n,China_Drone__China_Drone_001837,D20,0.012524,False
YOLO11n,China_Drone__China_Drone_001837,D00,0.015564,False
YOLO11n,China_Drone__China_Drone_001837,D00,0.003696,False
YOLO11n,China_Drone__China_Drone_001837,D10,0.006317,False
YOLO11n,China_Drone__China_Drone_001838,D10,0.153996,True
YOLO11n,China_Drone__China_Drone_001844,D20,0.048306,False
YOLO11n,China_Drone__China_Drone_001846,D00,0.017769,False
YOLO11n,China_Drone__China_Drone_001851,D20,0.197021,False
YOLO11n,China_Drone__China_Drone_001852,D20,0.022278,False
YOLO11n,China_Drone__China_Drone_001892,D10,0.015793,True
YOLO11n,China_Drone__China_Drone_001903,D00,0.019386,False
YOLO11n,China_Drone__China_Drone_001905,D00,0.013672,True
YOLO11n,China_Drone__China_Drone_001905,D00,0.026611,True
YOLO11n,China_Drone__China_Drone_001905,D10,0.041237,False
YOLO11n,China_Drone__China_Drone_001913,D10,0.026958,False
YOLO11n,China_Drone__China_Drone_001923,D20,0.399609,False
YOLO11n,China_Drone__China_Drone_001932,D10,0.020027,False
YOLO11n,China_Drone__China_Drone_001939,D10,0.099415,True
YOLO11n,China_Drone__China_Drone_001939,D00,0.020695,False
YOLO11n,China_Drone__China_Drone_001953,D00,0.058365,True
YOLO11n,China_Drone__China_Drone_001953,D00,0.022751,False
YOLO11n,China_Drone__China_Drone_001975,D10,0.179337,True
YOLO11n,China_Drone__China_Drone_001978,D20,0.038151,False
YOLO11n,China_Drone__China_Drone_001978,D20,0.049484,False
YOLO11n,China_Drone__China_Drone_001995,D00,0.021919,True
YOLO11n,China_Drone__China_Drone_002006,D00,0.038548,True
YOLO11n,China_Drone__China_Drone_002016,D00,0.204678,True
YOLO11n,China_Drone__China_Drone_002034,D00,0.017246,True
YOLO11n,China_Drone__China_Drone_002034,D00,0.014282,True
YOLO11n,China_Drone__China_Drone_002038,D10,0.008583,False
YOLO11n,China_Drone__China_Drone_002039,D00,0.023365,True
YOLO11n,China_Drone__China_Drone_002039,D00,0.027767,True
YOLO11n,China_Drone__China_Drone_002039,D00,0.003769,True
YOLO11n,China_Drone__China_Drone_002039,D10,0.008553,True
YOLO11n,China_Drone__China_Drone_002039,D00,0.029209,True
YOLO11n,China_Drone__China_Drone_002042,D10,0.032578,False
YOLO11n,China_Drone__China_Drone_002044,D00,0.030533,True
YOLO11n,China_Drone__China_Drone_002044,D20,0.005199,False
YOLO11n,China_Drone__China_Drone_002065,D00,0.061497,False
YOLO11n,China_Drone__China_Drone_002065,D20,0.009541,False
YOLO11n,China_Drone__China_Drone_002065,D10,0.006485,False
YOLO11n,China_Drone__China_Drone_002065,D00,0.033245,False
YOLO11n,China_Drone__China_Drone_002069,D20,0.394039,True
YOLO11n,China_Drone__China_Drone_002070,D10,0.012817,False
YOLO11n,China_Drone__China_Drone_002070,D00,0.040466,False
YOLO11n,China_Drone__China_Drone_002070,D00,0.113964,False
YOLO11n,China_Drone__China_Drone_002070,D10,0.01228,False
YOLO11n,China_Drone__China_Drone_002070,D00,0.008926,False
YOLO11n,China_Drone__China_Drone_002070,D10,0.012535,True
YOLO11n,China_Drone__China_Drone_002072,D10,0.050529,True
YOLO11n,China_Drone__China_Drone_002072,D10,0.003235,False
YOLO11n,China_Drone__China_Drone_002072,D00,0.040375,False
YOLO11n,China_Drone__China_Drone_002072,D10,0.006958,True
YOLO11n,China_Drone__China_Drone_002090,D00,0.018372,False
YOLO11n,China_Drone__China_Drone_002100,D10,0.002853,True
YOLO11n,China_Drone__China_Drone_002100,D10,0.013287,False
YOLO11n,China_Drone__China_Drone_002105,D20,0.071354,True
YOLO11n,China_Drone__China_Drone_002115,D10,0.078571,True
YOLO11n,China_Drone__China_Drone_002115,D10,0.018547,True
YOLO11n,China_Drone__China_Drone_002117,D10,0.073875,True
YOLO11n,China_Drone__China_Drone_002117,D00,0.035706,False
YOLO11n,China_Drone__China_Drone_002127,D10,0.098587,True
YOLO11n,China_Drone__China_Drone_002137,D40,0.01236,False
YOLO11n,China_Drone__China_Drone_002140,D00,0.018311,True
YOLO11n,China_Drone__China_Drone_002140,D00,0.019394,True
YOLO11n,China_Drone__China_Drone_002142,D10,0.148148,True
YOLO11n,China_Drone__China_Drone_002145,D40,0.005264,True
YOLO11n,China_Drone__China_Drone_002145,D00,0.012299,False
YOLO11n,China_Drone__China_Drone_002149,D10,0.016407,True
YOLO11n,China_Drone__China_Drone_002149,D10,0.056458,True
YOLO11n,China_Drone__China_Drone_002150,D00,0.039833,True
YOLO11n,China_Drone__China_Drone_002153,D10,0.027042,True
YOLO11n,China_Drone__China_Drone_002159,D00,0.018715,True
YOLO11n,China_Drone__China_Drone_002159,D00,0.018906,True
YOLO11n,China_Drone__China_Drone_002159,D10,0.012283,True
YOLO11n,China_Drone__China_Drone_002173,D00,0.02581,True
YOLO11n,China_Drone__China_Drone_002173,D10,0.018051,True
YOLO11n,China_Drone__China_Drone_002182,D10,0.007587,True
YOLO11n,China_Drone__China_Drone_002183,D10,0.105263,True
YOLO11n,China_Drone__China_Drone_002183,D00,0.060844,True
YOLO11n,China_Drone__China_Drone_002192,D00,0.025818,False
YOLO11n,China_Drone__China_Drone_002209,D20,0.48148,True
YOLO11n,China_Drone__China_Drone_002213,D10,0.037308,True
YOLO11n,China_Drone__China_Drone_002213,D10,0.066681,True
YOLO11n,China_Drone__China_Drone_002215,D00,0.020428,False
YOLO11n,China_Drone__China_Drone_002222,D20,0.021744,False
YOLO11n,China_Drone__China_Drone_002236,D10,0.069752,False
YOLO11n,China_Drone__China_Drone_002236,D00,0.012463,False
YOLO11n,China_Drone__China_Drone_002242,D10,0.069443,False
YOLO11n,China_Drone__China_Drone_002245,D40,0.005493,False
YOLO11n,China_Drone__China_Drone_002245,D40,0.005768,False
YOLO11n,China_Drone__China_Drone_002245,D10,0.030006,True
YOLO11n,China_Drone__China_Drone_002245,D10,0.014847,False
YOLO11n,China_Drone__China_Drone_002245,D00,0.008232,False
YOLO11n,China_Drone__China_Drone_002245,D10,0.01712,True
YOLO11n,China_Drone__China_Drone_002249,D10,0.016663,True
YOLO11n,China_Drone__China_Drone_002267,D00,0.011536,False
YOLO11n,China_Drone__China_Drone_002267,D00,0.016861,False
YOLO11n,China_Drone__China_Drone_002275,D00,0.066597,True
YOLO11n,China_Drone__China_Drone_002275,D00,0.069523,False
YOLO11n,China_Drone__China_Drone_002275,D10,0.036072,True
YOLO11n,China_Drone__China_Drone_002275,D10,0.013046,False
YOLO11n,China_Drone__China_Drone_002275,D20,0.020531,False
YOLO11n,China_Drone__China_Drone_002276,D10,0.177387,True
YOLO11n,China_Drone__China_Drone_002277,D10,0.008644,False
YOLO11n,China_Drone__China_Drone_002279,D10,0.054932,True
YOLO11n,China_Drone__China_Drone_002279,D00,0.007835,False
YOLO11n,China_Drone__China_Drone_002284,D00,0.075874,True
YOLO11n,China_Drone__China_Drone_002285,D10,0.071869,False
YOLO11n,China_Drone__China_Drone_002289,D10,0.025875,True
YOLO11n,China_Drone__China_Drone_002289,D10,0.027637,False
YOLO11n,China_Drone__China_Drone_002294,D00,0.012589,False
YOLO11n,China_Drone__China_Drone_002294,D00,0.02243,True
YOLO11n,China_Drone__China_Drone_002297,D00,0.010254,False
YOLO11n,China_Drone__China_Drone_002297,D10,0.012207,True
YOLO11n,China_Drone__China_Drone_002305,D10,0.036316,True
YOLO11n,China_Drone__China_Drone_002315,D00,0.135132,True
YOLO11n,China_Drone__China_Drone_002332,D00,0.015526,False
YOLO11n,China_Drone__China_Drone_002336,D00,0.009323,True
YOLO11n,China_Drone__China_Drone_002357,D10,0.198029,False
YOLO11n,China_Drone__China_Drone_002358,D00,0.008331,False
