model,stem,cls,conf,rel_area,best_iou,kind
YOLO11n,China_Drone__China_Drone_000135,D10,0.7455,0.131801,0.835,TP
YOLO11n,China_Drone__China_Drone_000135,D10,0.2322,0.1821,0.6097,FP_duplicate
YOLO11n,China_Drone__China_Drone_000140,D10,0.513,0.012536,0.7314,TP
YOLO11n,China_Drone__China_Drone_000179,D10,0.6516,0.013695,0.7667,TP
YOLO11n,China_Drone__China_Drone_000180,D00,0.236,0.100604,0.8436,TP
YOLO11n,China_Drone__China_Drone_000184,D10,0.4673,0.023851,0.7179,TP
YOLO11n,China_Drone__China_Drone_000184,D00,0.4077,0.016453,0.4412,FP_localization
YOLO11n,China_Drone__China_Drone_000184,D10,0.3887,0.004629,0.5686,TP
YOLO11n,China_Drone__China_Drone_000184,D00,0.2751,0.038145,0.7415,TP
YOLO11n,China_Drone__China_Drone_000194,D20,0.2751,0.515577,0.7858,TP
YOLO11n,China_Drone__China_Drone_000207,D20,0.3574,0.532771,0.5138,TP
YOLO11n,China_Drone__China_Drone_000247,D00,0.5069,0.416386,0.6644,TP
YOLO11n,China_Drone__China_Drone_000247,D00,0.4851,0.356241,0.5225,FP_duplicate
YOLO11n,China_Drone__China_Drone_000247,D00,0.3369,0.066651,0.1075,FP_localization
YOLO11n,China_Drone__China_Drone_000247,D00,0.2623,0.463641,0.7902,FP_duplicate
YOLO11n,China_Drone__China_Drone_000250,D00,0.3652,0.037909,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000254,D00,0.5063,0.066345,0.722,TP
YOLO11n,China_Drone__China_Drone_000254,D00,0.2784,0.170764,0.2359,FP_localization
YOLO11n,China_Drone__China_Drone_000264,D00,0.547,0.009932,0.8773,TP
YOLO11n,China_Drone__China_Drone_000287,D00,0.3534,0.071345,0.8438,TP
YOLO11n,China_Drone__China_Drone_000299,D10,0.481,0.037016,0.9079,TP
YOLO11n,China_Drone__China_Drone_000300,D00,0.6331,0.076187,0.9259,TP
YOLO11n,China_Drone__China_Drone_000317,D10,0.4351,0.022111,0.4139,FP_localization
YOLO11n,China_Drone__China_Drone_000317,D10,0.4256,0.003757,0.5813,TP
YOLO11n,China_Drone__China_Drone_000317,D10,0.4238,0.010203,0.7436,TP
YOLO11n,China_Drone__China_Drone_000317,D10,0.2498,0.006053,0.6233,FP_duplicate
YOLO11n,China_Drone__China_Drone_000318,D00,0.595,0.02908,0.8003,TP
YOLO11n,China_Drone__China_Drone_000360,D00,0.4766,0.027568,0.5181,TP
YOLO11n,China_Drone__China_Drone_000363,D00,0.2551,0.396203,0.9097,FP_classification
YOLO11n,China_Drone__China_Drone_000392,D10,0.4434,0.087688,0.5607,TP
YOLO11n,China_Drone__China_Drone_000392,D00,0.4427,0.073179,0.4945,FP_localization
YOLO11n,China_Drone__China_Drone_000392,D10,0.3084,0.055342,0.7159,FP_duplicate
YOLO11n,China_Drone__China_Drone_000392,D10,0.3049,0.015326,0.7239,TP
YOLO11n,China_Drone__China_Drone_000392,D10,0.2724,0.060365,0.6445,FP_duplicate
YOLO11n,China_Drone__China_Drone_000396,D00,0.2361,0.014254,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000404,D40,0.4217,0.021739,0.6854,TP
YOLO11n,China_Drone__China_Drone_000404,D40,0.2397,0.013734,0.8469,FP_duplicate
YOLO11n,China_Drone__China_Drone_000405,D00,0.8188,0.150134,0.7766,TP
YOLO11n,China_Drone__China_Drone_000406,D00,0.3331,0.036452,0.7039,TP
YOLO11n,China_Drone__China_Drone_000410,D00,0.3979,0.007959,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000410,D00,0.2537,0.024589,0.6907,TP
YOLO11n,China_Drone__China_Drone_000411,D10,0.4901,0.021014,0.4669,FP_localization
YOLO11n,China_Drone__China_Drone_000411,D00,0.3971,0.012343,0.7923,TP
YOLO11n,China_Drone__China_Drone_000416,D10,0.4549,0.00217,0.7647,TP
YOLO11n,China_Drone__China_Drone_000416,D10,0.4269,0.03694,0.8458,TP
YOLO11n,China_Drone__China_Drone_000416,D10,0.2845,0.016316,0.5063,FP_duplicate
YOLO11n,China_Drone__China_Drone_000429,D10,0.5751,0.0164,0.8875,TP
YOLO11n,China_Drone__China_Drone_000429,D00,0.3468,0.009874,0.8831,TP
YOLO11n,China_Drone__China_Drone_000430,D10,0.284,0.011484,0.6129,TP
YOLO11n,China_Drone__China_Drone_000431,D10,0.5849,0.058042,0.8959,TP
YOLO11n,China_Drone__China_Drone_000440,D00,0.4837,0.05075,0.8555,TP
YOLO11n,China_Drone__China_Drone_000442,D10,0.3512,0.011292,0.8169,TP
YOLO11n,China_Drone__China_Drone_000454,D10,0.4131,0.043057,0.7947,TP
YOLO11n,China_Drone__China_Drone_000454,D10,0.2999,0.014151,0.3717,FP_localization
YOLO11n,China_Drone__China_Drone_000471,D00,0.2777,0.016881,0.7499,TP
YOLO11n,China_Drone__China_Drone_000481,D00,0.3381,0.01797,0.9582,TP
YOLO11n,China_Drone__China_Drone_000488,D10,0.2542,0.145876,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000503,D40,0.3326,0.005268,0.8212,TP
YOLO11n,China_Drone__China_Drone_000515,D00,0.492,0.192223,0.421,FP_background
YOLO11n,China_Drone__China_Drone_000563,D10,0.4089,0.019908,0.7174,TP
YOLO11n,China_Drone__China_Drone_000589,D00,0.319,0.118811,0.5103,TP
YOLO11n,China_Drone__China_Drone_000595,D10,0.4141,0.123875,0.6407,TP
YOLO11n,China_Drone__China_Drone_000595,D10,0.3401,0.082211,0.5707,FP_duplicate
YOLO11n,China_Drone__China_Drone_000595,D10,0.3138,0.109864,0.8625,FP_duplicate
YOLO11n,China_Drone__China_Drone_000598,D10,0.4725,0.01935,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000598,D10,0.2749,0.023473,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000605,D10,0.6614,0.25089,0.825,TP
YOLO11n,China_Drone__China_Drone_000615,D00,0.4495,0.069472,0.3108,FP_localization
YOLO11n,China_Drone__China_Drone_000615,D00,0.2997,0.01704,0.8159,TP
YOLO11n,China_Drone__China_Drone_000615,D00,0.2907,0.007845,0.5891,TP
YOLO11n,China_Drone__China_Drone_000615,D00,0.2588,0.025884,0.8348,TP
YOLO11n,China_Drone__China_Drone_000615,D00,0.2288,0.043582,0.4835,FP_localization
YOLO11n,China_Drone__China_Drone_000620,D10,0.4554,0.064277,0.4987,FP_localization
YOLO11n,China_Drone__China_Drone_000620,D10,0.3981,0.037138,0.3425,FP_localization
YOLO11n,China_Drone__China_Drone_000622,D10,0.551,0.04914,0.7029,TP
YOLO11n,China_Drone__China_Drone_000634,D00,0.6028,0.032137,0.7318,TP
YOLO11n,China_Drone__China_Drone_000640,D20,0.2794,0.270095,0.3318,FP_localization
YOLO11n,China_Drone__China_Drone_000648,D00,0.2388,0.017422,0.7909,TP
YOLO11n,China_Drone__China_Drone_000650,D10,0.6297,0.094845,0.8773,TP
YOLO11n,China_Drone__China_Drone_000656,D00,0.5645,0.0429,0.5809,TP
YOLO11n,China_Drone__China_Drone_000656,D00,0.4986,0.073256,0.9765,FP_duplicate
YOLO11n,China_Drone__China_Drone_000662,D10,0.4903,0.044807,0.7795,TP
YOLO11n,China_Drone__China_Drone_000695,D40,0.7304,0.0114,0.7697,TP
YOLO11n,China_Drone__China_Drone_000695,D20,0.2655,0.028857,0.7284,TP
YOLO11n,China_Drone__China_Drone_000708,D00,0.6309,0.072489,0.7743,TP
YOLO11n,China_Drone__China_Drone_000708,D00,0.4207,0.044815,0.5266,FP_duplicate
YOLO11n,China_Drone__China_Drone_000708,D00,0.2935,0.046186,0.6806,FP_classification
YOLO11n,China_Drone__China_Drone_000711,D00,0.5071,0.01277,0.9171,TP
YOLO11n,China_Drone__China_Drone_000711,D10,0.2779,0.014615,0.7169,TP
YOLO11n,China_Drone__China_Drone_000715,D10,0.5369,0.047355,0.3846,FP_localization
YOLO11n,China_Drone__China_Drone_000715,D10,0.2405,0.02239,0.8134,TP
YOLO11n,China_Drone__China_Drone_000733,D00,0.482,0.096683,0.664,TP
YOLO11n,China_Drone__China_Drone_000733,D00,0.3183,0.021077,0.2974,FP_localization
YOLO11n,China_Drone__China_Drone_000733,D00,0.3003,0.068429,0.6705,FP_duplicate
YOLO11n,China_Drone__China_Drone_000733,D00,0.2595,0.030992,0.3685,FP_localization
YOLO11n,China_Drone__China_Drone_000733,D00,0.2331,0.066303,0.6944,FP_duplicate
YOLO11n,China_Drone__China_Drone_000738,D10,0.7773,0.00279,0.8457,TP
YOLO11n,China_Drone__China_Drone_000738,D10,0.5232,0.010112,0.3482,FP_localization
YOLO11n,China_Drone__China_Drone_000745,D10,0.4233,0.048302,0.7043,TP
YOLO11n,China_Drone__China_Drone_000745,D10,0.4097,0.030377,0.8117,FP_duplicate
YOLO11n,China_Drone__China_Drone_000745,D10,0.4068,0.019182,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000759,D00,0.5539,0.023752,0.1981,FP_localization
YOLO11n,China_Drone__China_Drone_000759,D00,0.2858,0.01636,0.1442,FP_localization
YOLO11n,China_Drone__China_Drone_000759,D00,0.2792,0.115614,0.7853,TP
YOLO11n,China_Drone__China_Drone_000762,D40,0.2343,0.034755,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000763,D00,0.5078,0.046483,0.6206,TP
YOLO11n,China_Drone__China_Drone_000763,D00,0.4798,0.026696,0.3765,FP_localization
YOLO11n,China_Drone__China_Drone_000767,D10,0.6612,0.106734,0.8837,TP
YOLO11n,China_Drone__China_Drone_000768,D00,0.5289,0.092152,0.8632,TP
YOLO11n,China_Drone__China_Drone_000802,D10,0.3718,0.0273,0.8779,TP
YOLO11n,China_Drone__China_Drone_000808,D10,0.6245,0.10635,0.8082,TP
YOLO11n,China_Drone__China_Drone_000826,D00,0.4003,0.036044,0.778,TP
YOLO11n,China_Drone__China_Drone_000831,D10,0.2599,0.104205,0.4293,FP_localization
YOLO11n,China_Drone__China_Drone_000831,D00,0.2351,0.086155,0.5192,FP_classification
YOLO11n,China_Drone__China_Drone_000853,D10,0.4125,0.008418,0.3898,FP_localization
YOLO11n,China_Drone__China_Drone_000853,D10,0.394,0.021179,0.7616,TP
YOLO11n,China_Drone__China_Drone_000853,D10,0.2516,0.013614,0.656,FP_duplicate
YOLO11n,China_Drone__China_Drone_000865,D00,0.4829,0.021797,0.7722,TP
YOLO11n,China_Drone__China_Drone_000865,D00,0.3351,0.007609,0.7495,TP
YOLO11n,China_Drone__China_Drone_000866,D10,0.4709,0.005034,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000866,D10,0.4289,0.003953,0.8339,TP
YOLO11n,China_Drone__China_Drone_000866,D10,0.2673,0.004363,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000866,D10,0.2663,0.004666,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000867,D00,0.5473,0.019587,0.9289,TP
YOLO11n,China_Drone__China_Drone_000867,D00,0.5121,0.006224,0.0343,FP_background
YOLO11n,China_Drone__China_Drone_000867,D00,0.3751,0.021514,0.6748,TP
YOLO11n,China_Drone__China_Drone_000867,D10,0.2766,0.01583,0.8688,TP
YOLO11n,China_Drone__China_Drone_000867,D00,0.2615,0.044522,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000871,D20,0.2909,0.134626,0.5489,TP
YOLO11n,China_Drone__China_Drone_000881,D00,0.3835,0.041699,0.691,TP
YOLO11n,China_Drone__China_Drone_000881,D00,0.327,0.026368,0.8436,FP_duplicate
YOLO11n,China_Drone__China_Drone_000889,D00,0.3972,0.064942,0.8704,TP
YOLO11n,China_Drone__China_Drone_000906,D10,0.7488,0.053951,0.9042,TP
YOLO11n,China_Drone__China_Drone_000919,D00,0.3851,0.007704,0.7622,TP
YOLO11n,China_Drone__China_Drone_000932,D00,0.5102,0.030332,0.7824,TP
YOLO11n,China_Drone__China_Drone_000932,D00,0.4925,0.018719,0.6833,FP_duplicate
YOLO11n,China_Drone__China_Drone_000932,D00,0.4149,0.016728,0.0858,FP_background
YOLO11n,China_Drone__China_Drone_000932,D10,0.4065,0.010744,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000932,D00,0.3895,0.030939,0.2943,FP_background
YOLO11n,China_Drone__China_Drone_000932,D10,0.2318,0.004025,0.0105,FP_background
YOLO11n,China_Drone__China_Drone_000945,D10,0.2996,0.008401,0.3773,FP_localization
YOLO11n,China_Drone__China_Drone_000945,D10,0.2726,0.003576,0.9115,TP
YOLO11n,China_Drone__China_Drone_000947,D20,0.6751,0.266601,0.8008,TP
YOLO11n,China_Drone__China_Drone_000976,D00,0.5725,0.01171,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000976,D00,0.3454,0.030364,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000976,D00,0.2495,0.028276,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000976,D00,0.238,0.018259,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000980,D00,0.5475,0.092387,0.8315,TP
YOLO11n,China_Drone__China_Drone_000980,D00,0.5203,0.090734,0.8153,FP_duplicate
YOLO11n,China_Drone__China_Drone_000980,D00,0.3249,0.057387,0.5165,FP_duplicate
YOLO11n,China_Drone__China_Drone_000980,D00,0.2727,0.026932,0.2409,FP_localization
YOLO11n,China_Drone__China_Drone_000993,D00,0.3427,0.123241,0.6269,TP
YOLO11n,China_Drone__China_Drone_000994,D00,0.306,0.018683,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000995,D00,0.4375,0.029437,0.7714,TP
YOLO11n,China_Drone__China_Drone_000996,D10,0.3505,0.058204,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001018,D20,0.4277,0.13255,0.6652,TP
YOLO11n,China_Drone__China_Drone_001018,D20,0.2669,0.091834,0.6164,FP_duplicate
YOLO11n,China_Drone__China_Drone_001024,D00,0.6093,0.314062,0.8652,TP
YOLO11n,China_Drone__China_Drone_001024,D00,0.3868,0.02813,0.8443,TP
YOLO11n,China_Drone__China_Drone_001024,D00,0.3856,0.028436,0.081,FP_background
YOLO11n,China_Drone__China_Drone_001024,D00,0.3533,0.078047,0.2022,FP_localization
YOLO11n,China_Drone__China_Drone_001024,D00,0.3409,0.218224,0.1691,FP_localization
YOLO11n,China_Drone__China_Drone_001040,D10,0.6226,0.017759,0.7194,TP
YOLO11n,China_Drone__China_Drone_001040,D10,0.4716,0.029762,0.749,TP
YOLO11n,China_Drone__China_Drone_001040,D00,0.3191,0.013911,0.8388,TP
YOLO11n,China_Drone__China_Drone_001040,D10,0.2664,0.006809,0.7164,TP
YOLO11n,China_Drone__China_Drone_001040,D10,0.2462,0.004334,0.0103,FP_background
YOLO11n,China_Drone__China_Drone_001043,D10,0.5006,0.007029,0.8642,TP
YOLO11n,China_Drone__China_Drone_001043,D10,0.242,0.010249,0.6417,FP_duplicate
YOLO11n,China_Drone__China_Drone_001048,D00,0.5212,0.077686,0.8226,TP
YOLO11n,China_Drone__China_Drone_001048,D00,0.3776,0.028853,0.4204,FP_localization
YOLO11n,China_Drone__China_Drone_001067,D10,0.486,0.039234,0.9136,TP
YOLO11n,China_Drone__China_Drone_001067,D10,0.3264,0.02495,0.5884,FP_duplicate
YOLO11n,China_Drone__China_Drone_001067,D40,0.3257,0.013112,0.824,TP
YOLO11n,China_Drone__China_Drone_001069,D10,0.3817,0.006734,0.8453,TP
YOLO11n,China_Drone__China_Drone_001081,D00,0.56,0.075782,0.5798,TP
YOLO11n,China_Drone__China_Drone_001081,D00,0.3791,0.077956,0.8593,FP_duplicate
YOLO11n,China_Drone__China_Drone_001081,D00,0.2401,0.064579,0.7084,FP_duplicate
YOLO11n,China_Drone__China_Drone_001104,D00,0.4279,0.020476,0.7708,TP
YOLO11n,China_Drone__China_Drone_001104,D00,0.3239,0.03368,0.355,FP_localization
YOLO11n,China_Drone__China_Drone_001108,D00,0.351,0.047166,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001129,D10,0.3698,0.030164,0.7507,TP
YOLO11n,China_Drone__China_Drone_001129,D10,0.3094,0.008125,0.5444,TP
YOLO11n,China_Drone__China_Drone_001136,D10,0.7296,0.122488,0.8106,TP
YOLO11n,China_Drone__China_Drone_001141,D20,0.3991,0.496002,0.8035,TP
YOLO11n,China_Drone__China_Drone_001152,D00,0.6677,0.033109,0.8182,TP
YOLO11n,China_Drone__China_Drone_001152,D00,0.4848,0.04381,0.7163,TP
YOLO11n,China_Drone__China_Drone_001157,D10,0.6777,0.231156,0.7755,TP
YOLO11n,China_Drone__China_Drone_001157,D10,0.3323,0.155562,0.6434,FP_duplicate
YOLO11n,China_Drone__China_Drone_001159,D10,0.4832,0.012717,0.7483,TP
YOLO11n,China_Drone__China_Drone_001159,D10,0.2342,0.024151,0.4774,FP_localization
YOLO11n,China_Drone__China_Drone_001166,D10,0.3831,0.012704,0.5766,TP
YOLO11n,China_Drone__China_Drone_001190,D00,0.5245,0.024392,0.8797,TP
YOLO11n,China_Drone__China_Drone_001200,D10,0.5284,0.11571,0.8309,TP
YOLO11n,China_Drone__China_Drone_001200,D10,0.2381,0.093801,0.5553,FP_duplicate
YOLO11n,China_Drone__China_Drone_001217,D10,0.7086,0.044263,0.9209,TP
YOLO11n,China_Drone__China_Drone_001229,D00,0.705,0.154039,0.6942,TP
YOLO11n,China_Drone__China_Drone_001246,D10,0.3934,0.008757,0.3962,FP_localization
YOLO11n,China_Drone__China_Drone_001246,D10,0.3845,0.024132,0.6776,TP
YOLO11n,China_Drone__China_Drone_001246,D10,0.3356,0.003784,0.872,TP
YOLO11n,China_Drone__China_Drone_001246,D10,0.2859,0.008571,0.4295,FP_localization
YOLO11n,China_Drone__China_Drone_001246,D00,0.2582,0.018878,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001246,D10,0.2496,0.003414,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001247,D10,0.5287,0.134836,0.7066,TP
YOLO11n,China_Drone__China_Drone_001250,D10,0.4639,0.013913,0.8093,TP
YOLO11n,China_Drone__China_Drone_001263,D10,0.5835,0.18415,0.7172,FP_classification
YOLO11n,China_Drone__China_Drone_001263,D00,0.5037,0.024482,0.401,FP_localization
YOLO11n,China_Drone__China_Drone_001263,D00,0.4675,0.083722,0.6059,TP
YOLO11n,China_Drone__China_Drone_001263,D00,0.4478,0.011888,0.7926,TP
YOLO11n,China_Drone__China_Drone_001263,D00,0.2772,0.138597,0.3759,FP_localization
YOLO11n,China_Drone__China_Drone_001263,D00,0.2381,0.108366,0.4918,FP_localization
YOLO11n,China_Drone__China_Drone_001271,D10,0.3132,0.015603,0.8094,TP
YOLO11n,China_Drone__China_Drone_001272,D10,0.615,0.22061,0.8216,TP
YOLO11n,China_Drone__China_Drone_001272,D10,0.433,0.132915,0.5406,FP_duplicate
YOLO11n,China_Drone__China_Drone_001305,D00,0.3592,0.042818,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001317,D10,0.574,0.124858,0.7536,TP
YOLO11n,China_Drone__China_Drone_001317,D10,0.5029,0.032026,0.233,FP_localization
YOLO11n,China_Drone__China_Drone_001317,D20,0.2754,0.012316,0.4637,FP_background
YOLO11n,China_Drone__China_Drone_001356,D10,0.3887,0.025989,0.3591,FP_localization
YOLO11n,China_Drone__China_Drone_001367,D00,0.2955,0.129426,0.6412,TP
YOLO11n,China_Drone__China_Drone_001367,D10,0.2357,0.025173,0.1586,FP_background
YOLO11n,China_Drone__China_Drone_001374,D10,0.54,0.047707,0.8055,TP
YOLO11n,China_Drone__China_Drone_001374,D00,0.3328,0.108036,0.011,FP_background
YOLO11n,China_Drone__China_Drone_001380,D00,0.4917,0.301286,0.4034,FP_localization
YOLO11n,China_Drone__China_Drone_001382,D00,0.3851,0.106539,0.7308,TP
YOLO11n,China_Drone__China_Drone_001382,D00,0.377,0.162996,0.4973,FP_localization
YOLO11n,China_Drone__China_Drone_001382,D00,0.2504,0.022828,0.6445,TP
YOLO11n,China_Drone__China_Drone_001382,D20,0.2288,0.207078,0.3171,FP_background
YOLO11n,China_Drone__China_Drone_001424,D10,0.5647,0.03032,0.6939,TP
YOLO11n,China_Drone__China_Drone_001433,D10,0.5489,0.013326,0.7622,TP
YOLO11n,China_Drone__China_Drone_001433,D00,0.2746,0.011882,0.28,FP_localization
YOLO11n,China_Drone__China_Drone_001452,D10,0.773,0.072912,0.5671,TP
YOLO11n,China_Drone__China_Drone_001477,D00,0.3732,0.017751,0.8273,TP
YOLO11n,China_Drone__China_Drone_001478,D00,0.4138,0.017864,0.7365,TP
YOLO11n,China_Drone__China_Drone_001478,D00,0.354,0.009181,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001479,D10,0.5301,0.022388,0.7881,TP
YOLO11n,China_Drone__China_Drone_001479,D00,0.4811,0.023214,0.5909,TP
YOLO11n,China_Drone__China_Drone_001479,D00,0.4732,0.041899,0.8013,FP_duplicate
YOLO11n,China_Drone__China_Drone_001479,D10,0.3359,0.033871,0.7125,TP
YOLO11n,China_Drone__China_Drone_001479,D10,0.2847,0.09231,0.2658,FP_localization
YOLO11n,China_Drone__China_Drone_001489,D00,0.3062,0.017445,0.6482,TP
YOLO11n,China_Drone__China_Drone_001493,D10,0.5393,0.038034,0.7975,TP
YOLO11n,China_Drone__China_Drone_001502,D00,0.2388,0.01869,0.9428,TP
YOLO11n,China_Drone__China_Drone_001503,D00,0.2841,0.289771,0.2197,FP_localization
YOLO11n,China_Drone__China_Drone_001511,D20,0.4954,0.028601,0.5751,FP_classification
YOLO11n,China_Drone__China_Drone_001511,D10,0.388,0.005245,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001521,D00,0.5793,0.033601,0.1413,FP_localization
YOLO11n,China_Drone__China_Drone_001521,D00,0.4595,0.073207,0.2931,FP_localization
YOLO11n,China_Drone__China_Drone_001521,D00,0.305,0.053974,0.2267,FP_localization
YOLO11n,China_Drone__China_Drone_001521,D00,0.2443,0.205046,0.859,TP
YOLO11n,China_Drone__China_Drone_001526,D20,0.3646,0.03913,0.6507,TP
YOLO11n,China_Drone__China_Drone_001530,D00,0.2814,0.13004,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001540,D00,0.2346,0.042368,0.4795,FP_localization
YOLO11n,China_Drone__China_Drone_001546,D00,0.4468,0.026504,0.8427,TP
YOLO11n,China_Drone__China_Drone_001566,D00,0.3386,0.082206,0.5509,TP
YOLO11n,China_Drone__China_Drone_001566,D00,0.3018,0.052314,0.8657,FP_duplicate
YOLO11n,China_Drone__China_Drone_001591,D10,0.3386,0.028752,0.7481,TP
YOLO11n,China_Drone__China_Drone_001591,D10,0.3286,0.009494,0.6611,TP
YOLO11n,China_Drone__China_Drone_001592,D10,0.2339,0.079654,0.3291,FP_background
YOLO11n,China_Drone__China_Drone_001608,D00,0.554,0.013612,0.7387,TP
YOLO11n,China_Drone__China_Drone_001608,D00,0.388,0.061999,0.6906,TP
YOLO11n,China_Drone__China_Drone_001608,D10,0.371,0.015988,0.7663,TP
YOLO11n,China_Drone__China_Drone_001608,D00,0.2793,0.026725,0.3949,FP_localization
YOLO11n,China_Drone__China_Drone_001632,D10,0.3184,0.095523,0.3168,FP_localization
YOLO11n,China_Drone__China_Drone_001632,D00,0.269,0.024389,0.8481,TP
YOLO11n,China_Drone__China_Drone_001653,D00,0.5793,0.077446,0.5994,TP
YOLO11n,China_Drone__China_Drone_001653,D00,0.5493,0.097977,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001653,D00,0.5312,0.043042,0.8508,FP_duplicate
YOLO11n,China_Drone__China_Drone_001653,D00,0.4975,0.086845,0.6146,TP
YOLO11n,China_Drone__China_Drone_001653,D00,0.3457,0.079592,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001653,D00,0.3268,0.018856,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001653,D00,0.322,0.081681,0.4937,FP_localization
YOLO11n,China_Drone__China_Drone_001653,D00,0.2651,0.025042,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001672,D00,0.56,0.044619,0.7373,TP
YOLO11n,China_Drone__China_Drone_001672,D00,0.3039,0.06591,0.4933,FP_localization
YOLO11n,China_Drone__China_Drone_001686,D10,0.4565,0.008596,0.4682,FP_localization
YOLO11n,China_Drone__China_Drone_001686,D10,0.4358,0.016518,0.6965,TP
YOLO11n,China_Drone__China_Drone_001692,D00,0.5323,0.087665,0.8572,TP
YOLO11n,China_Drone__China_Drone_001693,D10,0.4709,0.014181,0.7234,TP
YOLO11n,China_Drone__China_Drone_001713,D10,0.368,0.00552,0.8755,TP
YOLO11n,China_Drone__China_Drone_001727,D10,0.5289,0.004054,0.8601,TP
YOLO11n,China_Drone__China_Drone_001727,D10,0.3872,0.011161,0.5324,TP
YOLO11n,China_Drone__China_Drone_001731,D00,0.2813,0.073189,0.6028,TP
YOLO11n,China_Drone__China_Drone_001749,D10,0.4635,0.025434,0.0,FP_background
YOLO11n,China_Drone__China_Drone_001757,D00,0.467,0.248987,0.3039,FP_localization
YOLO11n,China_Drone__China_Drone_001760,D10,0.4522,0.106565,0.7805,TP
