model,stem,cls,tp,fp,fn
YOLO11n,China_Drone__China_Drone_000235,D20,0,0,1
YOLO11n,China_Drone__China_Drone_000247,D00,1,3,0
YOLO11n,China_Drone__China_Drone_000250,D00,0,1,0
YOLO11n,China_Drone__China_Drone_000254,D00,1,1,1
YOLO11n,China_Drone__China_Drone_000264,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000264,D10,0,0,1
YOLO11n,China_Drone__China_Drone_000267,D10,0,0,2
YOLO11n,China_Drone__China_Drone_000268,D10,0,0,1
YOLO11n,China_Drone__China_Drone_000279,D20,0,0,1
YOLO11n,China_Drone__China_Drone_000287,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000299,D10,1,0,1
YOLO11n,China_Drone__China_Drone_000300,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000317,D10,2,2,0
YOLO11n,China_Drone__China_Drone_000318,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000345,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000345,D20,0,0,1
YOLO11n,China_Drone__China_Drone_000357,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000360,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000363,D00,0,1,0
YOLO11n,China_Drone__China_Drone_000363,D10,0,0,1
YOLO11n,China_Drone__China_Drone_000392,D00,0,1,1
YOLO11n,China_Drone__China_Drone_000392,D10,2,2,1
YOLO11n,China_Drone__China_Drone_000396,D00,0,1,0
YOLO11n,China_Drone__China_Drone_000404,D40,1,1,1
YOLO11n,China_Drone__China_Drone_000405,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000406,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000410,D00,1,1,0
YOLO11n,China_Drone__China_Drone_000411,D00,1,0,1
YOLO11n,China_Drone__China_Drone_000411,D10,0,1,1
YOLO11n,China_Drone__China_Drone_000416,D10,2,1,0
YOLO11n,China_Drone__China_Drone_000429,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000429,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000430,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000431,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000440,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000442,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000452,D10,0,0,1
YOLO11n,China_Drone__China_Drone_000454,D10,1,1,0
YOLO11n,China_Drone__China_Drone_000471,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000481,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000488,D10,0,1,0
YOLO11n,China_Drone__China_Drone_000493,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000503,D40,1,0,2
YOLO11n,China_Drone__China_Drone_000506,D10,0,0,1
YOLO11n,China_Drone__China_Drone_000515,D00,0,1,1
YOLO11n,China_Drone__China_Drone_000515,D10,0,0,2
YOLO11n,China_Drone__China_Drone_000563,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000589,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000595,D10,1,2,0
YOLO11n,China_Drone__China_Drone_000598,D10,0,2,0
YOLO11n,China_Drone__China_Drone_000605,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000615,D00,3,2,0
YOLO11n,China_Drone__China_Drone_000620,D10,0,2,2
YOLO11n,China_Drone__China_Drone_000622,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000634,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000640,D20,0,1,1
YOLO11n,China_Drone__China_Drone_000648,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000650,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000650,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000653,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000656,D00,1,1,0
YOLO11n,China_Drone__China_Drone_000662,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000695,D20,1,0,0
YOLO11n,China_Drone__China_Drone_000695,D40,1,0,0
YOLO11n,China_Drone__China_Drone_000708,D00,1,2,0
YOLO11n,China_Drone__China_Drone_000708,D20,0,0,1
YOLO11n,China_Drone__China_Drone_000711,D00,1,0,1
YOLO11n,China_Drone__China_Drone_000711,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000715,D10,1,1,0
YOLO11n,China_Drone__China_Drone_000717,D10,0,0,1
YOLO11n,China_Drone__China_Drone_000733,D00,1,4,0
YOLO11n,China_Drone__China_Drone_000738,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000738,D10,1,1,1
YOLO11n,China_Drone__China_Drone_000745,D10,1,2,0
YOLO11n,China_Drone__China_Drone_000759,D00,1,2,0
YOLO11n,China_Drone__China_Drone_000762,D40,0,1,0
YOLO11n,China_Drone__China_Drone_000763,D00,1,1,0
YOLO11n,China_Drone__China_Drone_000767,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000768,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000802,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000808,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000826,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000831,D00,0,1,0
YOLO11n,China_Drone__China_Drone_000831,D10,0,1,1
YOLO11n,China_Drone__China_Drone_000853,D10,1,2,0
YOLO11n,China_Drone__China_Drone_000865,D00,2,0,0
YOLO11n,China_Drone__China_Drone_000866,D10,1,3,0
YOLO11n,China_Drone__China_Drone_000867,D00,2,2,0
YOLO11n,China_Drone__China_Drone_000867,D10,1,0,1
YOLO11n,China_Drone__China_Drone_000871,D20,1,0,0
YOLO11n,China_Drone__China_Drone_000881,D00,1,1,0
YOLO11n,China_Drone__China_Drone_000889,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000906,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000919,D00,1,0,1
YOLO11n,China_Drone__China_Drone_000932,D00,1,3,0
YOLO11n,China_Drone__China_Drone_000932,D10,0,2,0
YOLO11n,China_Drone__China_Drone_000932,D20,0,0,1
YOLO11n,China_Drone__China_Drone_000945,D00,0,0,2
YOLO11n,China_Drone__China_Drone_000945,D10,1,1,1
YOLO11n,China_Drone__China_Drone_000947,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000947,D20,1,0,0
YOLO11n,China_Drone__China_Drone_000952,D20,0,0,1
YOLO11n,China_Drone__China_Drone_000976,D00,0,4,0
YOLO11n,China_Drone__China_Drone_000980,D00,1,3,0
YOLO11n,China_Drone__China_Drone_000993,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000994,D00,0,1,0
YOLO11n,China_Drone__China_Drone_000994,D10,0,0,1
YOLO11n,China_Drone__China_Drone_000995,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000996,D10,0,1,0
YOLO11n,China_Drone__China_Drone_001018,D20,1,1,0
YOLO11n,China_Drone__China_Drone_001024,D00,2,3,1
YOLO11n,China_Drone__China_Drone_001025,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001030,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001040,D00,1,0,0
YOLO11n,China_Drone__China_Drone_001040,D10,3,1,0
YOLO11n,China_Drone__China_Drone_001043,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001048,D00,1,1,0
YOLO11n,China_Drone__China_Drone_001067,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001067,D40,1,0,0
YOLO11n,China_Drone__China_Drone_001069,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001081,D00,1,2,0
YOLO11n,China_Drone__China_Drone_001091,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001104,D00,1,1,1
YOLO11n,China_Drone__China_Drone_001108,D00,0,1,1
YOLO11n,China_Drone__China_Drone_001108,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001129,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001129,D10,2,0,0
YOLO11n,China_Drone__China_Drone_001136,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001136,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001141,D20,1,0,0
YOLO11n,China_Drone__China_Drone_001152,D00,2,0,0
YOLO11n,China_Drone__China_Drone_001157,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001159,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001159,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001166,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001182,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001182,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001190,D00,1,0,1
YOLO11n,China_Drone__China_Drone_001192,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001200,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001217,D10,1,0,1
YOLO11n,China_Drone__China_Drone_001222,D00,0,0,2
YOLO11n,China_Drone__China_Drone_001222,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001229,D00,1,0,1
YOLO11n,China_Drone__China_Drone_001238,D00,0,0,2
YOLO11n,China_Drone__China_Drone_001246,D00,0,1,0
YOLO11n,China_Drone__China_Drone_001246,D10,2,3,0
YOLO11n,China_Drone__China_Drone_001247,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001250,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001250,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001263,D00,2,3,3
YOLO11n,China_Drone__China_Drone_001263,D10,0,1,0
YOLO11n,China_Drone__China_Drone_001271,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001271,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001272,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001283,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001305,D00,0,1,1
YOLO11n,China_Drone__China_Drone_001317,D10,1,1,1
YOLO11n,China_Drone__China_Drone_001317,D20,0,1,0
YOLO11n,China_Drone__China_Drone_001356,D10,0,1,1
YOLO11n,China_Drone__China_Drone_001356,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001367,D00,1,0,0
YOLO11n,China_Drone__China_Drone_001367,D10,0,1,0
YOLO11n,China_Drone__China_Drone_001368,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001368,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001374,D00,0,1,0
YOLO11n,China_Drone__China_Drone_001374,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001380,D00,0,1,1
YOLO11n,China_Drone__China_Drone_001382,D00,2,1,0
YOLO11n,China_Drone__China_Drone_001382,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001382,D20,0,1,0
YOLO11n,China_Drone__China_Drone_001415,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001424,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001429,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001430,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001433,D00,0,1,1
YOLO11n,China_Drone__China_Drone_001433,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001452,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001477,D00,1,0,0
YOLO11n,China_Drone__China_Drone_001478,D00,1,1,0
YOLO11n,China_Drone__China_Drone_001479,D00,1,1,0
YOLO11n,China_Drone__China_Drone_001479,D10,2,1,0
YOLO11n,China_Drone__China_Drone_001489,D00,1,0,1
YOLO11n,China_Drone__China_Drone_001493,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001502,D00,1,0,1
YOLO11n,China_Drone__China_Drone_001503,D00,0,1,1
YOLO11n,China_Drone__China_Drone_001511,D10,0,1,0
YOLO11n,China_Drone__China_Drone_001511,D20,0,1,0
YOLO11n,China_Drone__China_Drone_001511,D40,0,0,1
YOLO11n,China_Drone__China_Drone_001521,D00,1,3,0
YOLO11n,China_Drone__China_Drone_001526,D20,1,0,0
YOLO11n,China_Drone__China_Drone_001530,D00,0,1,0
YOLO11n,China_Drone__China_Drone_001530,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001540,D00,0,1,1
YOLO11n,China_Drone__China_Drone_001546,D00,1,0,0
YOLO11n,China_Drone__China_Drone_001566,D00,1,1,0
YOLO11n,China_Drone__China_Drone_001590,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001591,D10,2,0,0
YOLO11n,China_Drone__China_Drone_001592,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001592,D10,0,1,0
YOLO11n,China_Drone__China_Drone_001608,D00,2,1,0
YOLO11n,China_Drone__China_Drone_001608,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001623,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001632,D00,1,0,0
YOLO11n,China_Drone__China_Drone_001632,D10,0,1,2
YOLO11n,China_Drone__China_Drone_001637,D00,0,0,2
YOLO11n,China_Drone__China_Drone_001638,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001653,D00,2,6,0
YOLO11n,China_Drone__China_Drone_001672,D00,1,1,0
YOLO11n,China_Drone__China_Drone_001686,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001686,D10,1,1,1
YOLO11n,China_Drone__China_Drone_001692,D00,1,0,0
YOLO11n,China_Drone__China_Drone_001693,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001713,D10,1,0,1
YOLO11n,China_Drone__China_Drone_001721,D00,0,0,2
YOLO11n,China_Drone__China_Drone_001722,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001727,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001727,D10,2,0,0
YOLO11n,China_Drone__China_Drone_001731,D00,1,0,0
YOLO11n,China_Drone__China_Drone_001749,D10,0,1,0
YOLO11n,China_Drone__China_Drone_001757,D00,0,1,3
YOLO11n,China_Drone__China_Drone_001760,D00,0,1,0
YOLO11n,China_Drone__China_Drone_001760,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001765,D00,1,0,0
YOLO11n,China_Drone__China_Drone_001765,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001777,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001782,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001795,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001809,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001822,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001827,D00,1,0,1
YOLO11n,China_Drone__China_Drone_001827,D10,1,0,0
YOLO11n,China_Drone__China_Drone_001827,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001831,D20,1,0,1
YOLO11n,China_Drone__China_Drone_001832,D10,1,1,1
YOLO11n,China_Drone__China_Drone_001836,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001837,D00,1,2,2
YOLO11n,China_Drone__China_Drone_001837,D10,0,1,1
YOLO11n,China_Drone__China_Drone_001837,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001838,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001844,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001846,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001851,D20,0,1,1
YOLO11n,China_Drone__China_Drone_001851,D40,0,1,0
YOLO11n,China_Drone__China_Drone_001852,D00,0,1,0
YOLO11n,China_Drone__China_Drone_001852,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001892,D00,0,1,0
YOLO11n,China_Drone__China_Drone_001892,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001903,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001905,D00,2,0,0
YOLO11n,China_Drone__China_Drone_001905,D10,0,1,1
YOLO11n,China_Drone__China_Drone_001913,D00,0,1,0
YOLO11n,China_Drone__China_Drone_001913,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001923,D00,0,2,0
YOLO11n,China_Drone__China_Drone_001923,D20,0,0,1
YOLO11n,China_Drone__China_Drone_001932,D10,0,0,1
YOLO11n,China_Drone__China_Drone_001939,D00,0,0,1
YOLO11n,China_Drone__China_Drone_001939,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001949,D00,0,1,0
YOLO11n,China_Drone__China_Drone_001953,D00,1,0,1
YOLO11n,China_Drone__China_Drone_001975,D10,1,1,0
YOLO11n,China_Drone__China_Drone_001978,D20,0,0,2
YOLO11n,China_Drone__China_Drone_001995,D00,1,0,0
YOLO11n,China_Drone__China_Drone_002006,D00,1,0,0
YOLO11n,China_Drone__China_Drone_002016,D00,1,0,0
YOLO11n,China_Drone__China_Drone_002020,D00,0,2,0
YOLO11n,China_Drone__China_Drone_002020,D10,0,1,0
YOLO11n,China_Drone__China_Drone_002034,D00,2,2,0
YOLO11n,China_Drone__China_Drone_002038,D10,0,0,1
YOLO11n,China_Drone__China_Drone_002039,D00,4,0,0
YOLO11n,China_Drone__China_Drone_002039,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002042,D10,0,0,1
YOLO11n,China_Drone__China_Drone_002044,D00,1,1,0
YOLO11n,China_Drone__China_Drone_002044,D20,0,0,1
YOLO11n,China_Drone__China_Drone_002065,D00,0,2,2
YOLO11n,China_Drone__China_Drone_002065,D10,0,0,1
YOLO11n,China_Drone__China_Drone_002065,D20,0,0,1
YOLO11n,China_Drone__China_Drone_002069,D20,1,0,0
YOLO11n,China_Drone__China_Drone_002070,D00,0,2,3
YOLO11n,China_Drone__China_Drone_002070,D10,1,0,2
YOLO11n,China_Drone__China_Drone_002070,D20,0,1,0
YOLO11n,China_Drone__China_Drone_002072,D00,0,1,1
YOLO11n,China_Drone__China_Drone_002072,D10,2,0,1
YOLO11n,China_Drone__China_Drone_002090,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002100,D10,1,0,1
YOLO11n,China_Drone__China_Drone_002105,D20,1,0,0
YOLO11n,China_Drone__China_Drone_002105,D40,0,1,0
YOLO11n,China_Drone__China_Drone_002115,D00,0,1,0
YOLO11n,China_Drone__China_Drone_002115,D10,2,2,0
YOLO11n,China_Drone__China_Drone_002117,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002117,D10,1,3,0
YOLO11n,China_Drone__China_Drone_002127,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002129,D00,0,2,0
YOLO11n,China_Drone__China_Drone_002137,D00,0,1,0
YOLO11n,China_Drone__China_Drone_002137,D20,0,1,0
YOLO11n,China_Drone__China_Drone_002137,D40,0,0,1
YOLO11n,China_Drone__China_Drone_002140,D00,2,1,0
YOLO11n,China_Drone__China_Drone_002142,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002145,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002145,D40,1,0,0
YOLO11n,China_Drone__China_Drone_002149,D10,2,1,0
YOLO11n,China_Drone__China_Drone_002150,D00,1,0,0
YOLO11n,China_Drone__China_Drone_002153,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002159,D00,2,2,0
YOLO11n,China_Drone__China_Drone_002159,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002173,D00,1,0,0
YOLO11n,China_Drone__China_Drone_002173,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002182,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002183,D00,1,0,0
YOLO11n,China_Drone__China_Drone_002183,D10,1,1,0
YOLO11n,China_Drone__China_Drone_002192,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002209,D20,1,1,0
YOLO11n,China_Drone__China_Drone_002213,D10,2,0,0
YOLO11n,China_Drone__China_Drone_002215,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002222,D20,0,0,1
YOLO11n,China_Drone__China_Drone_002236,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002236,D10,0,0,1
YOLO11n,China_Drone__China_Drone_002242,D10,0,1,1
YOLO11n,China_Drone__China_Drone_002245,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002245,D10,2,0,1
YOLO11n,China_Drone__China_Drone_002245,D20,0,1,0
YOLO11n,China_Drone__China_Drone_002245,D40,0,0,2
YOLO11n,China_Drone__China_Drone_002249,D00,0,1,0
YOLO11n,China_Drone__China_Drone_002249,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002267,D00,0,0,2
YOLO11n,China_Drone__China_Drone_002275,D00,1,1,1
YOLO11n,China_Drone__China_Drone_002275,D10,1,0,1
YOLO11n,China_Drone__China_Drone_002275,D20,0,0,1
YOLO11n,China_Drone__China_Drone_002276,D10,1,1,0
YOLO11n,China_Drone__China_Drone_002277,D10,0,0,1
YOLO11n,China_Drone__China_Drone_002279,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002279,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002284,D00,1,1,0
YOLO11n,China_Drone__China_Drone_002285,D10,0,0,1
YOLO11n,China_Drone__China_Drone_002289,D10,1,1,1
YOLO11n,China_Drone__China_Drone_002294,D00,1,0,1
YOLO11n,China_Drone__China_Drone_002297,D00,0,0,1
YOLO11n,China_Drone__China_Drone_002297,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002305,D10,1,1,0
YOLO11n,China_Drone__China_Drone_002315,D00,1,2,0
YOLO11n,China_Drone__China_Drone_002332,D00,0,1,1
YOLO11n,China_Drone__China_Drone_002336,D00,1,0,0
YOLO11n,China_Drone__China_Drone_002357,D10,0,0,1
YOLO11n,China_Drone__China_Drone_002358,D00,0,2,1
YOLO11n,China_Drone__China_Drone_002360,D00,1,1,0
YOLO11n,China_Drone__China_Drone_002360,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002365,D10,1,0,0
YOLO11n,China_Drone__China_Drone_002381,D10,0,0,1
YOLO11n,China_Drone__China_Drone_002383,D10,0,0,1
YOLO11n,China_MotorBike__China_MotorBike_000002,D00,2,0,0
YOLO11n,China_MotorBike__China_MotorBike_000003,D00,3,0,2
YOLO11n,China_MotorBike__China_MotorBike_000005,D10,2,2,2
YOLO11n,China_MotorBike__China_MotorBike_000012,D00,2,1,0
YOLO11n,China_MotorBike__China_MotorBike_000019,D00,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000019,D10,0,1,2
YOLO11n,China_MotorBike__China_MotorBike_000033,D00,1,2,2
YOLO11n,China_MotorBike__China_MotorBike_000033,D10,0,0,1
YOLO11n,China_MotorBike__China_MotorBike_000034,D10,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000042,D00,3,0,2
YOLO11n,China_MotorBike__China_MotorBike_000042,D10,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000050,D40,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000051,D20,0,0,1
YOLO11n,China_MotorBike__China_MotorBike_000053,D00,1,1,0
YOLO11n,China_MotorBike__China_MotorBike_000056,D00,0,1,0
YOLO11n,China_MotorBike__China_MotorBike_000056,D10,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000057,D00,1,2,0
YOLO11n,China_MotorBike__China_MotorBike_000058,D00,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000058,D10,1,2,1
YOLO11n,China_MotorBike__China_MotorBike_000059,D00,1,1,1
YOLO11n,China_MotorBike__China_MotorBike_000061,D00,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000072,D00,2,2,0
YOLO11n,China_MotorBike__China_MotorBike_000079,D00,0,1,1
YOLO11n,China_MotorBike__China_MotorBike_000079,D20,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000086,D00,1,1,3
YOLO11n,China_MotorBike__China_MotorBike_000086,D10,2,0,0
YOLO11n,China_MotorBike__China_MotorBike_000089,D00,1,1,0
YOLO11n,China_MotorBike__China_MotorBike_000089,D10,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000108,D00,0,0,1
YOLO11n,China_MotorBike__China_MotorBike_000108,D20,2,1,1
YOLO11n,China_MotorBike__China_MotorBike_000112,D00,3,2,3
YOLO11n,China_MotorBike__China_MotorBike_000112,D10,1,1,0
YOLO11n,China_MotorBike__China_MotorBike_000113,D00,0,1,0
YOLO11n,China_MotorBike__China_MotorBike_000113,D40,1,1,0
YOLO11n,China_MotorBike__China_MotorBike_000115,D00,0,1,0
YOLO11n,China_MotorBike__China_MotorBike_000115,D10,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000125,D20,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000127,D40,0,0,1
YOLO11n,China_MotorBike__China_MotorBike_000143,D00,1,1,2
YOLO11n,China_MotorBike__China_MotorBike_000146,D00,1,1,0
YOLO11n,China_MotorBike__China_MotorBike_000148,D10,0,5,1
YOLO11n,China_MotorBike__China_MotorBike_000148,D20,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000164,D00,3,2,1
YOLO11n,China_MotorBike__China_MotorBike_000168,D20,0,0,1
YOLO11n,China_MotorBike__China_MotorBike_000181,D00,2,3,0
YOLO11n,China_MotorBike__China_MotorBike_000201,D00,2,0,0
YOLO11n,China_MotorBike__China_MotorBike_000215,D20,1,0,1
YOLO11n,China_MotorBike__China_MotorBike_000218,D00,1,1,0
YOLO11n,China_MotorBike__China_MotorBike_000218,D10,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000221,D00,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000226,D00,2,0,1
YOLO11n,China_MotorBike__China_MotorBike_000232,D00,3,2,1
YOLO11n,China_MotorBike__China_MotorBike_000247,D00,1,0,1
YOLO11n,China_MotorBike__China_MotorBike_000259,D00,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000262,D00,0,1,1
YOLO11n,China_MotorBike__China_MotorBike_000269,D00,0,1,2
YOLO11n,China_MotorBike__China_MotorBike_000269,D20,1,0,0
YOLO11n,China_MotorBike__China_MotorBike_000290,D00,1,1,1
